"text","text_en","cmp_code","eu_code"
"This blueprint is designed to reverse the damage caused by previous governments that have pursued an agenda that the market could make the NHS better.",NA,"413",NA
"By contrast, Greens will always stand against the marketisation and privatisation of our precious health service and will choose instead to protect our NHS and keep it in public hands.",NA,"413",NA
"A Green Plan for increased investment in primary care and public health",NA,"H",NA
"We think it’s vital to invest in primary care: General Practitioners (GPs) are key to both prevention and early diagnosis.",NA,"504",NA
"The contact GPs have with patients can make a real difference – helping maximise public investment and ensure we all stay healthier for longer, through timely access to diagnosis and to the best and latest treatment.",NA,"504",NA
"Choosing to invest in primary care and public health will improve everyone’s quality of life,",NA,"504",NA
"while also reducing the demand on the rest of the NHS.",NA,"504",NA
"Elected Greens will push for: Increasing the allocation of funding to primary medical care, with additional annual spending reaching £1.5bn by 2030, targeted at areas of greatest need.",NA,"504",NA
"Reducing the administrative burden on GPs, giving them more time face to face with patients.",NA,"504",NA
"Steps could include allowing hospital doctors to make onward referrals without needing to go back to a patient’s GP.",NA,"504",NA
"A £2bn capital investment in primary care over the next five years.",NA,"504",NA
"We would also seek to expand diagnostic capacity in communities.",NA,"504",NA
"This would help to ensure people are diagnosed early and have more chance of a positive outcome.",NA,"504",NA
"Elected Greens will push for: Public health to be a cross-government priority.",NA,"504",NA
"Restoring public health budgets to 2015/16 levels with an immediate increase of £1.5bn.",NA,"504",NA
"Smoking cessation, drug and alcohol treatment and sexual health services all need to be properly funded.",NA,"504",NA
"A cross-governmental approach to health.",NA,"504",NA
"There are a range of interventions across this Manifesto that support healthier lives, from improved food labelling, free school meals, active travel and local government investment in sport.",NA,"504",NA
"A National Commission to agree an evidenced based approach to reform of the UK’s counterproductive drug laws.",NA,"504",NA
"This will allow the UK to move towards a legally regulated market that stops criminal supply and profiteering, and that reduces harm including by preventing children accessing drugs.",NA,"605.2",NA
"NHS Dentistry",NA,"H",NA
"Successive governments have failed to properly fund NHS dentistry, expecting dentists to treat patients at a loss.",NA,"504",NA
"This choice is one of the reasons for the scandals of patients pulling out their own teeth",NA,"504",NA
"and of so many children being unable to access a dentist that tooth decay is now the top reason for child hospital admissions.",NA,"504",NA
"Elected Greens will push for a new contract for NHS dentists that ensures everybody who needs an NHS dentist has access to one.",NA,"504",NA
"Additional investment in NHS dentistry, reaching £3bn a year by 2030, would transform the availability of appointments and end the scandal of dental treatment deserts.",NA,"504",NA
"Elected Greens will campaign for funding to allow community hubs and primary care to provide a roll-out of free dental nursing for children and those on low incomes.",NA,"504",NA
"This model would deliver preventative work and make referrals into NHS care pathways following oral health checks.",NA,"504",NA
"Investing in and supporting our health workers",NA,"H",NA
"We will tackle the crisis in staff retention through pushing for an immediate and additional increase to the budgets for NHS staff costs,",NA,"504",NA
"to ensure salaries are fair and reflect the essential skills and dedication of the NHS workforce.",NA,"504",NA
"Elected Greens will support the junior doctors’ call for pay restoration.",NA,"504",NA
"It’s foolish and irresponsible to continue to invest hundreds of thousands of pounds in training and then pay them so poorly.",NA,"504",NA
"We need to value junior doctors, so they stay in the NHS and make it stronger.",NA,"504",NA
"We cannot allow NHS salaries to decline further:",NA,"504",NA
"NHS professionals are vital to a healthy and happy society, and we should value them with pay and conditions to reflect this.",NA,"504",NA
"National Cancer Plan",NA,"H",NA
"We will commit to a National Cancer Control Plan to include:",NA,"504",NA
"Reducing cases through investment in public health measures, such as interventions on food, alcohol and tobacco.",NA,"504",NA
"Meet the existing NHS target of 75% of cases diagnosed at stage 1 or stage 2 by 2028 though investment in primary care and enhanced screening.",NA,"504",NA
"Using the unique information the NHS has, as a public health system that cares for us from cradle to the grave, to deliver treatment through publicly funded research.",NA,"504",NA
"Mental health",NA,"H",NA
"Elected Greens will ensure that the rights of those struggling with their mental health are respected and that a legal framework supports all people to live fulfilling lives.",NA,"504",NA
"Elected Greens will focus on enabling major improvements to mental health care to put it on a truly equal footing with physical health care.",NA,"504",NA
"This will include ensuring that everyone who needs it can access evidence-based mental health therapies within 28 days.",NA,"504",NA
"We will ensure that tailored and specific provision is readily available for the particular needs of communities of colour, children and adolescents, older people and Lesbian, Gay Bisexual, Trans, Intersex, Queer and Asexual (LGBTIQA+) communities.",NA,"504",NA
"We will also push for more accessible and prompt mental health needs assessments for children and adolescents.",NA,"504",NA
"The investment in primary care set out above will create easier access to these services in all communities.",NA,"504",NA
"We will ensure that neurodivergent children and those with special needs are adequately supported, including in the school system, to live rich and fulfilling lives.",NA,"504",NA
"We will provide a trained and paid counsellor in every primary and secondary school, and every sixth-form college.",NA,"504",NA
"This work will be supported through bursaries to train counsellors from underrepresented backgrounds to ensure we have sufficient culturally aware counsellors for our diverse population.",NA,"503",NA
"Assisted dying",NA,"H",NA
"Elected Greens will back changing the law on assisted dying.",NA,"201.2",NA
"We support a humane and dignified approach to terminal illness, allowing people to choose to end their lives to avoid prolonging unnecessary suffering, if this is their clear and settled will.",NA,"201.2",NA
"Proper safeguards would need to be put in place.",NA,"201.2",NA
"End new cases of HIV by 2030",NA,"H",NA
"Elected Greens will work towards no more HIV transmissions by 2030, advocating for a joined-up approach using proven actions, including access to the HIV prevention pill online, in pharmacies and from GP services.",NA,"504",NA
"We will renew successful optout HIV testing programmes in A&Es in all areas with a high prevalence of HIV.",NA,"504",NA
"Caring with Fairness, Compassion and Dignity",NA,"H",NA
"There is a crisis in social care, with over 400,000 people awaiting care, reviews, payments or assessments.",NA,"504",NA
"There are 150,000 staff vacancies in the care sector.",NA,"504",NA
"In England there are estimated to be 4.7 million unpaid carers.",NA,"504",NA
"The failure by successive governments to address this crisis has created problems for our health service more widely.",NA,"504",NA
"Greens believe that health and care services go hand in hand.",NA,"504",NA
"We would choose to invest in both, as part of our commitment to a country where everybody can look forward to compassion and dignity at any stage in their lives when they need extra support.",NA,"504",NA
"To address the social care crisis elected Greens will push for: Free personal care to ensure dignity in old age and for disabled people.",NA,"504",NA
"Increased pay rates and a career structure for carers to rebuild the care workforce.",NA,"504",NA
"Investment of £20bn per year.",NA,"504",NA
"Free personal care",NA,"H",NA
"The Green Party believes free social care is fundamental to a functioning welfare state.",NA,"504",NA
"Elected Greens will push for the introduction of free personal care along the lines successfully brought in by the Scottish Government.",NA,"504",NA
"For those still living at home, access to free personal care will enable earlier intervention and access to help to maintain independence and wellbeing.",NA,"504",NA
"For those living in residential settings, the personal care elements will be fully funded,",NA,"504",NA
"alongside a tapered approach to other costs based on the level of their income.",NA,"503",NA
"For those struggling to afford the accommodation element of residential care, local authorities need to be properly funded to provide the right level of financial support.",NA,"504",NA
"Better care for all",NA,"H",NA
"Elected Greens will bring together local authorities, trade unions and private providers to establish a career structure for carers, ensuring there is a pathway to progression that includes training and qualifications.",NA,"504",NA
"This would have national pay, terms and conditions for all care workers",NA,"504",NA
"and a proper workforce plan.",NA,"504",NA
"Elected Greens will also change the working visa system to end the exploitation of overseas workers in the care sector.",NA,"504",NA
"This would make it illegal for agents to charge commission and would ensure that carers are free to change employer in the UK.",NA,"504",NA
"Elected Greens will campaign for ‘Gloria’s Law’, giving everybody the right to at least one essential Care Supporter (a person important to them such as a relative or friend) when they are using health or care services.",NA,"504",NA
"Disabled people",NA,"H",NA
"Consecutive Conservative governments have undermined the limited progress made by disabled people to live dignified lives as valued members of society.",NA,"503",NA
"Benefits have been cut, and access to education, work and parliamentary access schemes designed to improve the inclusion of disabled people have been decimated.",NA,"503",NA
"We need to ensure that everybody can lead full, meaningful lives, can work if they choose, and access the help and support they need.",NA,"503",NA
"Disabled people have as much of a right to control their day-to-day lives and their long-term futures as non-disabled people.",NA,"503",NA
"Elected Greens will: Restore the value of disability benefits with an immediate uplift of 5%.",NA,"504",NA
"End the unfair targeting of carers and disabled people on benefits.",NA,"504",NA
