"text","text_en","cmp_code","eu_code"
"Get Brexit Done",NA,"H",NA
"When the new Government entered Downing Street, the Prime Minister made a simple promise: to get Brexit done.",NA,"110",NA
"Many said it would be impossible.",NA,"305.1",NA
"But he swiftly negotiated a great new deal – despite Parliament’s best efforts to block his progress.",NA,"305.1",NA
"And then, when he put it to MPs, they insisted on yet more delay.",NA,"305.1",NA
"We must move on.",NA,"110",NA
"No more renegotiations.",NA,"110",NA
"No more referendums.",NA,"110",NA
"Every week is costing us.",NA,"110",NA
"Investment is waiting to come into the country.",NA,"110",NA
"Families and businesses cannot make vital decisions.",NA,"110",NA
"The public services cannot get the attention they deserve.",NA,"110",NA
"Our priority as Conservatives is to get Brexit done",NA,"110",NA
"– so that we can unleash the potential of this great country.",NA,"601.1",NA
"So that we can push past the obstacles that other parties have put in our country’s way.",NA,"305.1",NA
"So that we can deliver on the people’s decision in 2016",NA,"202.1",NA
"and use our new post-Brexit freedoms to transform the UK for the better by focusing on your priorities.",NA,"110",NA
"If we elect a majority of Conservative MPs to Parliament, we will start putting our deal through Parliament before Christmas and we will leave the European Union in January.",NA,"110",NA
"Boris Johnson’s new deal takes the whole country out of the EU as one United Kingdom.",NA,"110",NA
"It takes us out of the customs union,",NA,"407",NA
"allowing us to set our own tariffs",NA,"406",NA
"and do our own trade deals.",NA,"406",NA
"It allows us to pass our own laws and ensures that it is our courts that enforce them.",NA,"601.1",NA
"Our deal is the only one on the table.",NA,"305.1",NA
"It is signed, sealed and ready.",NA,"305.1",NA
"It puts the whole country on a path to a new free trade agreement with the EU.",NA,"407",NA
"This will be a new relationship based on free trade and friendly cooperation,",NA,"407",NA
"not on the EU’s treaties",NA,"110",NA
"or EU law.",NA,"110",NA
"There will be no political alignment with the EU.",NA,"110",NA
"We will keep the UK out of the single market,",NA,"110",NA
"out of any form of customs union,",NA,"110",NA
"and end the role of the European Court of Justice.",NA,"110",NA
"This future relationship will be one that allows us to: Take back control of our laws.",NA,"601.1",NA
"Take back control of our money.",NA,"401",NA
"Control our own trade policy.",NA,"401",NA
"Introduce an Australian-style points-based immigration system.",NA,"601.2",NA
"Raise standards in areas like workers’ rights,",NA,"701",NA
"animal welfare,",NA,"501",NA
"agriculture",NA,"703.1",NA
"and the environment.",NA,"501",NA
"Ensure we are in full control of our fishing waters.",NA,"406",NA
"We will negotiate a trade agreement next year",NA,"407",NA
"– one that will strengthen our Union –",NA,"601.1",NA
"and we will not extend the implementation period beyond December 2020.",NA,"110",NA
"In parallel, we will legislate to ensure high standards of workers’ rights,",NA,"701",NA
"environmental protection",NA,"501",NA
"and consumer rights.",NA,"403",NA
"The only way to deliver Brexit is with a Conservative majority in Parliament.",NA,"110",NA
"A vote for any other party or candidate is a vote for Jeremy Corbyn",NA,"305.2",NA
"– and a vote for more chaos.",NA,"305.3",NA
"Unleash Britain’s Potential",NA,"H",NA
"For the past nine years, the Conservatives have been cleaning up Labour’s mess.",NA,"305.1",NA
"Because of the tough decisions that our party made and our success in bringing down the deficit ,",NA,"414",NA
"the economy has continued to grow ,",NA,"410",NA
"and the public finances have been restored.",NA,"414",NA
"Thanks to Conservative policies, employment is at a near-record high.",NA,"701",NA
"We’ve helped millions of people into work, halving the unemployment rate.",NA,"701",NA
"We’ve doubled the personal allowance to £12,500, meaning that every worker gets to keep more of what they earn.",NA,"401",NA
"We’ve introduced and consistently raised the National Living Wage",NA,"412",NA
"– and will raise it still further.",NA,"412",NA
"The strength of the UK’s balance sheet – the hard work done by all of us in this country – means that we are now in a position to invest properly in our future.",NA,"414",NA
"A Conservative Government will give the public services the resources they need, supporting our hospitals,",NA,"504",NA
"our schools",NA,"506",NA
"and our police.",NA,"605.1",NA
"We will help people and families throughout their lives by bringing down the cost of living",NA,"503",NA
"and making sure that work always pays.",NA,"701",NA
"We will keep costs down for small businesses – rather than hiking their taxes and crushing Britain’s prosperity.",NA,"403",NA
"We will not borrow to fund day-to-day spending,",NA,"414",NA
"but will invest thoughtfully and responsibly in infrastructure right across our country",NA,"411",NA
"in order to increase productivity and",NA,"410",NA
"wages.",NA,"701",NA
"Our fiscal rules mean that public sector net investment will not average more than 3 per cent of GDP,",NA,"414",NA
"and that if debt interest reaches 6 per cent of revenue, we will reassess our plans to keep debt under control.",NA,"414",NA
"This means that debt will be lower at the end of the Parliament –",NA,"414",NA
"rather than spiralling out of control under Labour.",NA,"305.1",NA
"And we will use this investment prudently and strategically to level up every part of the United Kingdom,",NA,"414",NA
"while strengthening the ties that bind it together.",NA,"601.1",NA
"We will also prioritise the environment in the next Budget,",NA,"501",NA
"investing in the infrastructure, science and research that will deliver economic growth, not just through the 2020s, but for decades to come.",NA,"411",NA
"Above all, we will listen to the people who have felt left behind by the last few decades of economic growth and want to have more control of their future.",NA,"503",NA
"We will get Brexit done, so we can unleash Britain’s potential.",NA,"110",NA
"so we can unleash Britain’s potential.",NA,"601.1",NA
"We Will Focus On Your Priorities",NA,"H",NA
"In his first months in office, the Prime Minister has shown how he intends to make life better for everyone in the UK.",NA,"503",NA
"Supporting our police.",NA,"605.1",NA
"Increasing funding for our schools.",NA,"505",NA
"Building new hospitals.",NA,"504",NA
"We have listened to you, and we have acted.",NA,"601.1",NA
"Acted to ensure that we deliver world-class public services so that you can have the help and support you need throughout your life.",NA,"503",NA
"And we want to take that agenda further.",NA,"305.1",NA
"But none of it will happen without a Conservative majority Government.",NA,"305.1",NA
"Strengthen the NHS and social care",NA,"H",NA
"The NHS represents the best of this country.",NA,"601.1",NA
"It is there for us when our children are born, when our friends and families fall sick, when our loved ones succumb to old age and ill health.",NA,"504",NA
"It is precious to all of us – especially because it is free at the point of use and there for you on the basis of need, not your ability to pay.",NA,"504",NA
"We as Conservatives believe passionately in the NHS.",NA,"504",NA
"Because we believe that everyone deserves the chance to live free of sickness and disease –",NA,"504",NA
"and to know that if they do fall ill, our brilliant NHS staff will be there for them.",NA,"504",NA
"We are proud that since its foundation, it is the Conservative Party that has acted as the steward and guardian of the NHS and its principles for 44 of its 71 years.",NA,"504",NA
"We are proud that it is coping with increasing demand, with more doctors and nurses,",NA,"504",NA
"and using more advanced treatments than ever before.",NA,"504",NA
"And we are proud to have confirmed a record £34 billion per year by the end of the Parliament in additional funding for the NHS",NA,"504",NA
"– and to have begun work on building 40 new hospitals across the country,",NA,"411",NA
"as well as investing in hospital upgrades and new machines to boost early cancer diagnosis across 78 hospital trusts.",NA,"504",NA
"But we want to do more.",NA,"504",NA
"Within the first three months of our new term, we will enshrine in law our fully funded, long-term NHS plan.",NA,"504",NA
"This is the largest cash settlement in NHS history.",NA,"504",NA
"One that is only possible because we have delivered the growth and prosperity to pay for world-class public services –",NA,"410",NA
"and will continue to do so.",NA,"504",NA
"Between 2018 and 2023, we will have raised funding for the NHS by 29 per cent.",NA,"504",NA
"By the end of the Parliament, that will be more than £650 million extra a week.",NA,"504",NA
"And we will ensure this money goes to the frontline so that you and your family get appointments more quickly and experience improved care.",NA,"504",NA
"We believe that the best way to improve the NHS and meet rising demand is to invest in its most important asset – its people.",NA,"504",NA
"That is why we are devoting additional funding, on top of our existing record settlement, to hire and support more doctors, nurses and other health professionals.",NA,"504",NA
"Our NHS Prevention and Treatment Plan",NA,"H",NA
"We will build and fund 40 new hospitals over the next 10 years.",NA,"411",NA
"This is on top of the 20 hospital upgrades announced in the summer.",NA,"504",NA
"We will roll out cancer diagnostic machines across 78 hospital trusts to boost early diagnosis.",NA,"411",NA
"We are committed to reducing health inequality.",NA,"503",NA
"We will continue to repair the damage done by Labour’s disastrous PFI deals.",NA,"305.1",NA
"We will invest in preventing disease as well as curing it.",NA,"504",NA
"We will tackle the underlying causes of increases in NHS demand, for example via a long-term strategy for empowering people with lifestyle-related conditions such as obesity to live healthier lives",NA,"505",NA
", as well as tackling childhood obesity, heart disease and diabetes.",NA,"504",NA
"We will continue to promote the uptake of vaccines via our national vaccination strategy.",NA,"504",NA
"We will extend social prescribing and expand the new National Academy of Social Prescribing.",NA,"504",NA
"We will overhaul NHS screening and use new technology and mobile screening services to prevent ill health.",NA,"411",NA
"We will focus on helping patients with multiple conditions to have simplified and more joined-up access to the NHS.",NA,"503",NA
"And we will improve hospital food alongside our wider National Food Strategy.",NA,"504",NA
"We will develop new treatments for serious diseases.",NA,"504",NA
"We will extend the successful Cancer Drugs Fund into an Innovative Medicines Fund so that doctors can use the most advanced, life-saving treatments for conditions such as cancer or autoimmune disease,",NA,"504",NA
"or for children with other rare diseases.",NA,"504",NA
"If you or a loved one is unlucky enough to fall ill, we’ll ensure you have access to the best available medicines.",NA,"503",NA
"We will also improve the early diagnosis and treatment of all major conditions.",NA,"504",NA
"We will treat mental health with the same urgency as physical health.",NA,"504",NA
"We will legislate so that patients suffering from mental health conditions, including anxiety or depression, have greater control over their treatment",NA,"504",NA
"and receive the dignity and respect they deserve.",NA,"503",NA
"We will make it easier for people with learning disabilities and autism to be discharged from hospital",NA,"503",NA
"and improve how they are treated in law.",NA,"503",NA
"We will continue to take action to tackle gambling addiction.",NA,"504",NA
"We will improve NHS performance, using our record funding settlementnto bring down operating waiting times,",NA,"504",NA
"improve A&E performance",NA,"504",NA
"and increase cancer survival rates.",NA,"504",NA
"We will study carefully the recommendations of the ongoing review led by NHS clinical staff into A&E and clinical performance.",NA,"504",NA
"We will use frontline technology to improve patients’ experience,",NA,"411",NA
"provide flexible working for clinicians,",NA,"701",NA
"and help save lives.",NA,"504",NA
"We will also hold an annual health technology summit.",NA,"411",NA
"We will support our precious hospices, developing the plans already announced by Boris Johnson to secure their future, with a £25 million cash injection in August to support 200,000 people at the end of their lives.",NA,"504",NA
"We will make the NHS the best place in the world to give birth through personalised, high-quality support.",NA,"504",NA
"And we’ll uphold our commitment to extend healthy life expectancy by five years by 2035.",NA,"504",NA
"We will end unfair hospital car parking charges by making parking free for those in greatest need, including disabled people, frequent outpatient attenders, parents of sick children staying overnight",NA,"503",NA
"and staff working night shifts.",NA,"701",NA
"This will eliminate costs for those in need, while making sure there are enough spaces for everyone.",NA,"503",NA
"We will clamp down on health tourism, ensuring that those from overseas who use NHS services pay their fair share.",NA,"503",NA
"And we will increase the NHS surcharge paid by those from overseas.",NA,"403",NA
"When we are negotiating trade deals, the NHS will not be on the table.",NA,"406",NA
"The price the NHS pays for drugs will not be on the table.",NA,"406",NA
"The services the NHS provides will not be on the table.",NA,"406",NA
"Our NHS People Plan",NA,"H",NA
"The 1.4 million dedicated staff who deliver world-class care day in, day out are at the heart of the NHS.",NA,"701",NA
"Our core priority is to make sure this workforce can grow and has the support it needs – in terms of numbers, training and resources.",NA,"701",NA
"That means that if you do fall ill, you’ll get the care and attention you deserve.",NA,"504",NA
"We will deliver: 50,000 more nurses,",NA,"504",NA
"with students receiving a £5,000-£8,000 annual maintenance grant every year during their course to help with their costof living – and they won’t have to pay it back.",NA,"504",NA
