"text","text_en","cmp_code","eu_code"
"Protect female-only spaces and competitiveness in sport by making clear that sex means biological sex in the Equality Act.",NA,"603",NA
"Deliver 1.6 million well-designed homes in the right places",NA,"411",NA
"while protecting our countryside,",NA,"501",NA
"permanently abolish Stamp Duty for homes up to £425,000 for first time buyers",NA,"403",NA
"and introduce a new Help to Buy scheme.",NA,"403",NA
"Recruit 8,000 more full-time, fully warranted police officers to ensure a new police officer for every neighbourhood.",NA,"605.1",NA
"Cut anti-social behaviour in town centres by rolling out Hotspot Policing,",NA,"605.1",NA
"expanding community payback",NA,"605.1",NA
"and legislating to evict social tenants who repeatedly disrupt their neighbours.",NA,"605.1",NA
"Invest £36 billion in local roads, rail and buses to drive regional growth, including £8.3 billion to fill potholes and resurface roads, funded by cancelling the second phase of HS2.",NA,"411",NA
"Back drivers by stopping road pricing,",NA,"403",NA
"reversing the London Mayor’s ULEZ expansion",NA,"000",NA
"and applying local referendums to new 20mph zones and Low Traffic Neighbourhoods.",NA,"301",NA
"Champion our rural communities by backing farmers with a legal target and additional investment for food security,",NA,"703.1",NA
"and protecting our best agricultural land from solar farms.",NA,"703.1",NA
"Continue to directly invest in communities across Scotland, Wales and Northern Ireland,",NA,"301",NA
"protect the UK’s internal market",NA,"406",NA
"and the integrity of our United Kingdom.",NA,"601.1",NA
"Our plan for a secure, dynamic and growing economy",NA,"H",NA
"In 2010 we inherited an economy in tatters, with Labour admitting themselves there was ‘no money’.",NA,"305.1",NA
"We have faced three generational global economic challenges: the aftermath of the financial crisis; a global pandemic; and the biggest energy shock since the 1970s.",NA,"305.1",NA
"Against this backdrop, since 2010 the UK has had the third highest growth rate in the G7.",NA,"410",NA
"We have created four million more jobs,",NA,"701",NA
"cut taxes for working people and pensioners",NA,"503",NA
"and repaired the public finances.",NA,"414",NA
"The UK economy is now growing faster than Germany, France, Italy and the United States,",NA,"410",NA
"real wages have been rising for nearly a year,",NA,"701",NA
"inflation has fallen from 11.1% to 2.3%, lower than in Europe and the US,",NA,"414",NA
"and debt as a share of GDP is forecast to start falling next year.",NA,"414",NA
"The plan we set out last year, to halve inflation, grow the economy and reduce debt, is working.",NA,"410",NA
"Economic security is the bedrock of any future success, which is why we have a clear plan to take the bold action needed to build a strong economy.",NA,"414",NA
"reducing borrowing and debt;",NA,"414",NA
"backing businesses to invest, innovate and trade;",NA,"402",NA
"cutting taxes and reforming our welfare system;",NA,"504",NA
"delivering world-class education; and",NA,"506",NA
"delivering an affordable transition to domestic, sustainable energy.",NA,"416.2",NA
"Reducing debt and borrowing",NA,"H",NA
"Sustainable public finances are essential for a strong economic plan.",NA,"414",NA
"It was only because of the difficult decisions we took to repair the public finances after 2010, which saw the deficit fall from 10.3% under Labour to 2.1% on the eve of the pandemic, that we were able to provide almost £400 billion of support to families and businesses to get through Covid and the energy shock.",NA,"414",NA
"The only way to give people the peace of mind that government will be able to support them again when future shocks hit is to get borrowing and debt down.",NA,"414",NA
"The alternative is to let borrowing get out of control, driving inflation and interest rates up, and leaving our children and grandchildren to pick up the bill.",NA,"414",NA
"In the next Parliament, we will continue to meet our fiscal rules of having public sector net debt falling and for public sector net borrowing to be below 3% of GDP in the fifth year of the forecast.",NA,"414",NA
"The measures in this manifesto are fully funded and would result in lower borrowing in 2029-30, which will be the target year for our fiscal rules in the first fiscal event of the new Parliament.",NA,"414",NA
"Backing business to invest, innovate and trade",NA,"H",NA
"A competitive tax system",NA,"H",NA
"The Conservative Party will always be the party of business.",NA,"402",NA
"It is the private sector which will unlock the investment, growth and opportunities of the future.",NA,"401",NA
"That is why a tax system that incentivises business to invest is at the heart of our economic plan.",NA,"402",NA
"We introduced the biggest business tax cut in modern British history, which hundreds of business leaders have described as the ‘single most transformational’ measure for growth and investment.",NA,"402",NA
"So more businesses can benefit, we will look to extend our ‘full expensing’ policy to leasing, once the fiscal conditions allow.",NA,"402",NA
"And we will not raise corporation tax.",NA,"402",NA
"For the very smallest businesses, the four million people who are self-employed, we will abolish the main rate of National Insurance entirely by the end of the next Parliament.",NA,"402",NA
"We will back the risk takers and entrepreneurs who help drive our economy.",NA,"402",NA
"Small and medium-sized businesses are the lifeblood of our economy and we are making the UK the best place in the world to start or grow a business.",NA,"402",NA
"We have great foundations: world-class talent,",NA,"601.1",NA
"an internationally envied legal system",NA,"601.1",NA
"and a business-friendly regulatory environment.",NA,"402",NA
"We are supporting firms with a business rates support package worth £4.3 billion over the next five years to support small businesses and the high street.",NA,"402",NA
"We want small businesses to get a bigger share of public contracts and have improved the public sector procurement system to that end.",NA,"402",NA
"We have made it easier and cheaper for small businesses to hire an apprentice.",NA,"402",NA
"And we have taken 28,000 small businesses out of paying VAT altogether by raising the VAT registration threshold to £90,000.",NA,"402",NA
"In the next Parliament, we will deliver a ten point plan to support SMEs:",NA,"402",NA
"1. Continue to ease the burden of business rates for high street, leisure and hospitality businesses by increasing the multiplier on distribution warehouses that support online shopping over time.",NA,"402",NA
"2. Keep the VAT threshold under review and explore options to smooth the cliff edge at £90,000.",NA,"402",NA
"3. Improve access to finance for SMEs including through expanding Open Finance",NA,"402",NA
"and by exploring the creation of Regional Mutual Banks.",NA,"402",NA
"4. Take more companies out of the scope of burdensome reporting requirements.",NA,"402",NA
"Making use of freedoms granted by Brexit, we will lift the employee threshold allowing more companies to be considered medium-sized.",NA,"402",NA
"This is expected to save small businesses at least one million hours of admin per year.",NA,"402",NA
