timestamp_utc,cache_key,model,subdir
2026-08-31T17:11:00.522758+00:00,2024_con_minimal_gpt-5_run3,gpt-5,summaries
2026-08-31T17:11:40.337735+00:00,2024_con_minimal_gpt-5_run4,gpt-5,summaries
2026-08-31T17:12:09.194413+00:00,2024_con_minimal_gpt-5_run5,gpt-5,summaries
2026-08-31T17:12:54.129750+00:00,2024_con_neutral_gpt-5_run1,gpt-5,summaries
2026-08-31T17:13:31.968031+00:00,2024_con_neutral_gpt-5_run2,gpt-5,summaries
2026-08-31T17:14:12.726469+00:00,2024_con_neutral_gpt-5_run3,gpt-5,summaries
2026-08-31T17:15:01.223593+00:00,2024_con_neutral_gpt-5_run4,gpt-5,summaries
2026-08-31T17:15:37.573804+00:00,2024_con_neutral_gpt-5_run5,gpt-5,summaries
2026-08-31T17:16:02.237833+00:00,2024_con_framing_preserving_gpt-5_run1,gpt-5,summaries
2026-08-31T17:16:41.468885+00:00,2024_con_framing_preserving_gpt-5_run2,gpt-5,summaries
2026-08-31T17:17:28.282248+00:00,2024_con_framing_preserving_gpt-5_run3,gpt-5,summaries
2026-08-31T17:18:07.890640+00:00,2024_con_framing_preserving_gpt-5_run4,gpt-5,summaries
2026-08-31T17:18:43.919711+00:00,2024_con_framing_preserving_gpt-5_run5,gpt-5,summaries
2026-08-31T17:19:27.642963+00:00,2024_con_framed_gpt-5_run1,gpt-5,summaries
2026-08-31T17:20:19.275645+00:00,2024_con_framed_gpt-5_run2,gpt-5,summaries
2026-08-31T17:21:16.235215+00:00,2024_con_framed_gpt-5_run3,gpt-5,summaries
2026-08-31T17:22:03.502622+00:00,2024_con_framed_gpt-5_run4,gpt-5,summaries
2026-08-31T17:22:45.452495+00:00,2024_con_framed_gpt-5_run5,gpt-5,summaries
2026-08-31T17:23:21.224662+00:00,2024_con_distorted_gpt-5_run1,gpt-5,summaries
2026-08-31T17:23:55.189991+00:00,2024_con_distorted_gpt-5_run2,gpt-5,summaries
2026-08-31T17:24:30.628646+00:00,2024_con_distorted_gpt-5_run3,gpt-5,summaries
2026-08-31T17:25:07.400606+00:00,2024_con_distorted_gpt-5_run4,gpt-5,summaries
2026-08-31T17:25:50.915161+00:00,2024_con_distorted_gpt-5_run5,gpt-5,summaries
2026-08-31T17:26:45.977029+00:00,2024_con_anonymised_gpt-5_run1,gpt-5,summaries
2026-08-31T17:27:32.932409+00:00,2024_con_anonymised_gpt-5_run2,gpt-5,summaries
2026-08-31T17:28:16.413897+00:00,2024_con_anonymised_gpt-5_run3,gpt-5,summaries
2026-08-31T17:29:00.534831+00:00,2024_con_anonymised_gpt-5_run4,gpt-5,summaries
2026-08-31T17:29:43.934762+00:00,2024_con_anonymised_gpt-5_run5,gpt-5,summaries
2026-08-31T17:32:22.081731+00:00,extract_2024_con_minimal_gpt-5_run1,gpt-5,extractions
2026-08-31T17:33:54.992177+00:00,extract_2024_con_minimal_gpt-5_run2,gpt-5,extractions
2026-08-31T17:35:49.713845+00:00,extract_2024_con_minimal_gpt-5_run3,gpt-5,extractions
2026-08-31T17:37:31.834170+00:00,extract_2024_con_minimal_gpt-5_run4,gpt-5,extractions
2026-08-31T17:39:26.241010+00:00,extract_2024_con_minimal_gpt-5_run5,gpt-5,extractions
2026-08-31T17:41:00.149092+00:00,extract_2024_con_neutral_gpt-5_run1,gpt-5,extractions
2026-08-31T17:43:03.817567+00:00,extract_2024_con_neutral_gpt-5_run2,gpt-5,extractions
2026-08-31T17:44:59.553716+00:00,extract_2024_con_neutral_gpt-5_run3,gpt-5,extractions
2026-08-31T17:47:09.280234+00:00,extract_2024_con_neutral_gpt-5_run4,gpt-5,extractions
2026-08-31T17:49:15.376959+00:00,extract_2024_con_neutral_gpt-5_run5,gpt-5,extractions
2026-08-31T17:51:06.108891+00:00,extract_2024_con_framing_preserving_gpt-5_run1,gpt-5,extractions
2026-08-31T17:52:24.261683+00:00,extract_2024_con_framing_preserving_gpt-5_run2,gpt-5,extractions
2026-08-31T17:53:29.744562+00:00,extract_2024_con_framing_preserving_gpt-5_run3,gpt-5,extractions
2026-08-31T17:54:51.716214+00:00,extract_2024_con_framing_preserving_gpt-5_run4,gpt-5,extractions
2026-08-31T17:57:15.633615+00:00,extract_2024_con_framing_preserving_gpt-5_run5,gpt-5,extractions
2026-08-31T17:59:45.996033+00:00,extract_2024_con_framed_gpt-5_run1,gpt-5,extractions
2026-08-31T18:02:16.455140+00:00,extract_2024_con_framed_gpt-5_run2,gpt-5,extractions
2026-08-31T18:04:49.218338+00:00,extract_2024_con_framed_gpt-5_run3,gpt-5,extractions
2026-08-31T18:07:13.435729+00:00,extract_2024_con_framed_gpt-5_run4,gpt-5,extractions
2026-08-31T18:10:09.231085+00:00,extract_2024_con_framed_gpt-5_run5,gpt-5,extractions
2026-08-31T18:11:51.099375+00:00,extract_2024_con_distorted_gpt-5_run1,gpt-5,extractions
2026-08-31T18:13:44.984748+00:00,extract_2024_con_distorted_gpt-5_run2,gpt-5,extractions
2026-08-31T18:16:00.112667+00:00,extract_2024_con_distorted_gpt-5_run3,gpt-5,extractions
2026-08-31T18:19:41.661980+00:00,extract_2024_con_distorted_gpt-5_run4,gpt-5,extractions
2026-08-31T18:22:25.398711+00:00,extract_2024_con_distorted_gpt-5_run5,gpt-5,extractions
2026-08-31T18:24:40.603930+00:00,extract_2024_con_anonymised_gpt-5_run1,gpt-5,extractions
2026-08-31T18:26:31.859680+00:00,extract_2024_con_anonymised_gpt-5_run2,gpt-5,extractions
2026-08-31T18:28:28.279566+00:00,extract_2024_con_anonymised_gpt-5_run3,gpt-5,extractions
2026-08-31T18:29:47.533623+00:00,extract_2024_con_anonymised_gpt-5_run4,gpt-5,extractions
2026-08-31T18:31:35.376192+00:00,extract_2024_con_anonymised_gpt-5_run5,gpt-5,extractions
2026-08-31T18:32:03.796042+00:00,2024_reform_minimal_gpt-5_run1,gpt-5,summaries
2026-08-31T18:32:41.608271+00:00,2024_reform_minimal_gpt-5_run2,gpt-5,summaries
2026-08-31T18:33:09.902538+00:00,2024_reform_minimal_gpt-5_run3,gpt-5,summaries
2026-08-31T18:33:38.178013+00:00,2024_reform_minimal_gpt-5_run4,gpt-5,summaries
2026-08-31T18:34:04.935467+00:00,2024_reform_minimal_gpt-5_run5,gpt-5,summaries
2026-08-31T18:34:38.669047+00:00,2024_reform_neutral_gpt-5_run1,gpt-5,summaries
2026-08-31T18:35:10.714167+00:00,2024_reform_neutral_gpt-5_run2,gpt-5,summaries
2026-08-31T18:36:15.135798+00:00,2024_reform_neutral_gpt-5_run3,gpt-5,summaries
2026-08-31T18:36:51.664737+00:00,2024_reform_neutral_gpt-5_run4,gpt-5,summaries
2026-08-31T18:38:00.768511+00:00,2024_reform_neutral_gpt-5_run5,gpt-5,summaries
2026-08-31T18:38:42.666956+00:00,2024_reform_framing_preserving_gpt-5_run1,gpt-5,summaries
2026-08-31T18:39:37.246525+00:00,2024_reform_framing_preserving_gpt-5_run2,gpt-5,summaries
2026-08-31T18:40:12.089376+00:00,2024_reform_framing_preserving_gpt-5_run3,gpt-5,summaries
2026-08-31T18:40:37.901590+00:00,2024_reform_framing_preserving_gpt-5_run4,gpt-5,summaries
2026-08-31T18:41:11.338111+00:00,2024_reform_framing_preserving_gpt-5_run5,gpt-5,summaries
